id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,5.9564159387582876e-61,3.872117071923803e-131,4.923615331214835e-109,8.144226264912058e-11,0.0,4.554509760571399e-64,2.9225270906967884e-103,6.385992315288625e-84,3.9120855938216257e-75,1.4550991464996447e-190,1.6336334310479466e-41,3.343351321869127e-153,1.867644653241369e-98,1.169813767833264e-119,3.40366777915621e-140,4.686386498018468e-155,5.547616843802221e-95,3.539375230538849e-83,2.255099730792783e-96,2.6177179860282084e-136,2.720212295525546e-49,9.983801796945908e-56,1.3912048391351546e-45,2.843969695608411e-79,1.0237267416109357e-95,1.3701318125796169e-65,3.2923336035357154e-28,5.510870186671009e-42,1.732599330732038e-59,5.389172394952414e-62,1.4863325760911097e-77,0.0004330313379362195,2.0947609343114388e-47,2.4065364814592962e-48,1.6436353870930446e-71,2.5786350761434963e-155,1.3413507760829957e-80,6.54277177523283e-102,1.704479168647998e-98,2.673135093338362e-63,4.458947129135261e-80,4.118424402696936e-79,2.841385730118774e-117,1.537366723661122e-59,6.651784454112961e-65,1.6890652018247779e-37,1.4090729214716868e-09,3.6914480679400764e-193,4.627931544619483e-111,1.4675882077815338e-78,3.122641795905294e-36,0.9995405363564477,3.352946897376022e-46,4.630441224472007e-40,3.2281214709571725e-38,2.313301537513322e-19,9.651812310189426e-06,8.879778729299507e-140,3.1160345865976613e-40,3.0929501562129947e-80,1.785929816063856e-91,7.316972501616897e-101,1.3046898889261728e-71,3.18593586584655e-143,3.7062837910276095e-22,3.609001299206697e-59,2.82284385693421e-51,8.266982551714261e-66,1.519471223891213e-46,1.908225357147689e-32,4.178034967545983e-63,6.566284184607413e-101,7.811546511758669e-77,6.0496674541167106e-68,4.307381011163971e-44,3.3510514980084157e-49,1.6839464216253399e-74,5.470587543591206e-40,2.035807764487323e-58,1.9971708885627925e-44,7.794151582583678e-58,9.653675006006611e-45,1.542700561166732e-120,1.6779002790906693e-05,2.5657457553510087e-50,6.867950759951855e-113,6.65708498613848e-49,1.6510907929915636e-73,1.9125337093177792e-87,4.9993685901901816e-169,2.5920816360157905e-52,2.3687611994766391e-119,4.99505907447421e-71,1.5730877996729305e-69,6.529120647561469e-55,1.0961115790235653e-117,1.0707953174815781e-68,5.7419158891010344e-71,1.5019938798755802e-94
7,2.2572121247792342e-83,3.121396494383749e-156,1.2627763109292768e-81,5.6431231722216e-21,1.3712299297744498e-302,4.981995899564245e-47,1.0120073869954786e-21,2.6956227137160915e-56,2.0981049527473124e-66,4.706131870097441e-182,1.4709346662264725e-54,1.4073068421690536e-130,4.2245765557656656e-119,1.6318139175408788e-93,8.04829061909324e-130,3.171283242403845e-162,3.820440747030868e-120,2.2013092210991477e-33,7.295899974130009e-103,7.950633831711518e-71,1.414032708380191e-66,1.3085922795256344e-79,4.0813432849099756e-41,6.43241138834837e-65,7.264876070115158e-96,2.2630719072115982e-52,1.0349369167063415e-66,5.461691210689777e-85,6.284247027161919e-40,7.904663444879752e-59,1.0998081160348633e-37,7.82457717084732e-42,7.857661498089427e-84,6.872190407235905e-72,2.9707845654697243e-63,3.258929728487999e-137,8.676024342548165e-44,1.624991225279584e-97,4.833381096761189e-86,1.535115117584846e-39,1.0954285316262603e-48,2.2398260633329826e-116,2.978942392376912e-104,1.213633172980883e-46,4.746664823056634e-89,1.866859579830994e-49,3.2004491436872677e-101,1.3778532220278096e-124,1.250255565618902e-91,2.7078992299590597e-109,0.9367129463480557,1.4321990676172597e-58,2.571138842455443e-31,5.109525155948705e-25,1.727717600283113e-21,2.847406937959175e-31,2.9927483580551796e-61,1.44814521522774e-116,1.3194179994856602e-48,6.550186589319317e-59,1.3721887855408536e-84,1.1482448247207073e-77,3.050341134388302e-83,1.0808546196075614e-132,1.7397688948845504e-85,8.368685932583487e-72,9.270430971066534e-74,7.740677257081604e-45,8.736564856743997e-35,0.06328705334609235,9.222464593275723e-61,2.567953837291719e-71,3.304675413978177e-115,5.796860386689211e-35,1.5263784610778206e-137,3.648987703950731e-121,7.806811224049023e-38,1.6192102484900586e-65,1.7736988245266243e-62,4.645685360831521e-40,1.4510368116930122e-28,8.139210598882538e-20,7.999559828840034e-76,6.391650183374118e-25,3.0647393718007115e-104,1.4734882781833062e-122,3.058519135792684e-10,9.318024157467229e-36,9.68389572378088e-187,1.6191394755008374e-156,9.528604027751836e-58,8.685023067139999e-135,7.308118948083408e-72,4.419782897332698e-93,3.428584816756969e-41,1.7263655115308114e-109,1.298507675391042e-29,6.222685874987837e-127,1.2020708297730549e-61
9,1.2777388086278095e-45,0.24997928685952575,2.3996432948588213e-78,2.958380548532782e-28,1.914517303461775e-20,8.134587260858003e-58,2.1811081122078483e-107,3.343139610342147e-24,0.2499792329298174,6.574129784128625e-72,1.045882793719537e-23,6.0699934556316145e-12,6.2710805533145105e-87,1.131812688521242e-56,1.2407552686345451e-57,2.76530023015955e-162,0.24997928685952575,1.2418000296116807e-73,6.966998946963384e-111,2.8511562653109885e-62,5.873116899759947e-49,3.22113892025841e-73,4.5065510490218144e-85,3.3767710507466666e-119,9.944788757771116e-152,1.6040525971068823e-79,0.2499791971197813,2.640706174374677e-128,3.899687694584438e-75,3.7135580865596906e-81,1.0221824380473961e-73,3.1379463166724094e-42,6.13057775850332e-47,4.3925698533114997e-64,3.1367844688813683e-102,8.672633291650108e-87,2.360890539490111e-156,7.150931613942814e-124,2.9217608851268427e-132,6.398990806341748e-79,3.296058010441571e-84,4.821092628352329e-30,7.818525961219061e-121,5.038705854380558e-78,9.954991980703855e-88,2.054040001457036e-80,4.127855666525406e-103,2.1532790933773412e-72,1.3669354055907094e-22,5.042491895983086e-22,2.126863273737102e-74,8.207562692254251e-82,1.7746437280277008e-59,1.1812949534525685e-55,1.830544234298431e-57,1.8091127277758e-59,9.913551273657376e-54,1.7401785577805315e-155,4.5807063789669135e-59,1.3064764745251184e-139,3.421289569601327e-119,1.0427837139818423e-132,1.9478035645239967e-119,1.9018376986478635e-190,4.475340466539903e-84,8.550681396383052e-95,2.4380181343354672e-73,1.3591631727434953e-92,5.022474042747805e-65,1.906404358438413e-36,3.6660619622280205e-86,3.217115796284949e-138,1.6588741842229525e-122,2.75728957699595e-19,1.93745895847097e-139,3.995751033622292e-99,1.6866796366950587e-83,4.876952282760521e-87,3.3903126188248515e-119,1.322599984417158e-72,1.1575063224422439e-88,1.807336715404558e-57,4.619068925476454e-177,3.412732895347185e-69,1.0576543634752617e-128,2.502694340174086e-10,2.2622641155759545e-61,1.6675186541204284e-60,2.053534187301016e-205,3.0500135251642153e-84,7.500434797360737e-68,2.8344289616247445e-136,1.0374622295569159e-55,2.1575109052861824e-38,8.299597115593495e-05,3.2189590552670606e-13,4.826532549441311e-79,1.8865758409409134e-152,3.532383530363152e-12
12,2.7506587090576585e-38,0.12735113937371043,1.915567565351368e-136,6.635472933400095e-28,1.1029801787210244e-225,9.143356034007859e-99,2.7764793050583235e-95,1.8877681585608185e-43,5.272737033050241e-18,2.7882617267178523e-62,3.392012537331047e-45,3.548614540932886e-28,7.749965778131387e-16,0.12735113073923354,2.5181395402408072e-57,2.1326216800292474e-173,6.256597045502429e-32,1.3527707312500083e-37,8.655631862079623e-118,0.12735113939131015,6.608288997817322e-37,9.97132486205546e-95,6.47497656522824e-66,8.887896251567004e-99,1.8087593900596801e-127,3.331778157032746e-83,9.829219903620997e-10,1.054989754573174e-102,4.368247912075219e-88,3.753373823362197e-93,2.0257802521330787e-90,5.342974551876983e-54,4.91186573491207e-86,3.1511724212706603e-90,3.471663637918705e-114,2.2552268349690236e-191,1.6728638558671117e-80,2.998002925100372e-123,1.5261253503972513e-143,4.2997390888051886e-91,4.6064232931709906e-104,0.10854203304421894,5.607673513208832e-150,7.158945529535903e-76,6.788562611769055e-112,7.61027232615916e-77,5.449641808126055e-94,0.12735113939131015,0.1273511393912656,2.6251954617856755e-74,3.81036244342226e-29,8.663839615879298e-92,1.0160544987891713e-53,1.9778172873226795e-38,3.549056806265692e-24,1.60075581972588e-44,3.188178641053146e-86,1.90402376784117e-189,5.11533585448484e-40,8.056854585053311e-84,1.0731638002239244e-110,4.6993774592482894e-125,7.721316614535086e-94,1.827993748712463e-151,2.1824108142894165e-123,2.668793701236169e-47,3.465373775347101e-104,8.416571014094868e-85,1.6954487038114098e-54,8.078945474338377e-44,2.456373713631678e-79,4.1479783946214594e-113,3.0153201679136906e-147,3.2583795908356666e-50,1.9084456821877813e-133,5.093269270630147e-107,4.7958954332637736e-58,2.7160144496778396e-71,1.994945332423005e-110,1.6324394228359705e-71,3.0583998463034524e-62,3.8495260137518577e-62,4.352292135416583e-119,7.490059352048209e-58,1.0130487446277814e-121,5.85871590293751e-47,1.4477985887860743e-38,1.9711893819717757e-60,2.0084761249636154e-235,1.9497143573298667e-121,2.34471138269414e-95,8.623375161825333e-107,2.601437724331055e-65,3.354449342112285e-42,3.1231505129096216e-13,0.12735113829441275,2.2867208123315947e-74,1.6818901373082301e-140,0.1273511393913034
13,7.635792207602349e-12,3.2164449942905685e-48,2.602858942709661e-101,3.987251937307662e-46,1.412901669262603e-225,1.0294557665458347e-88,2.9112378333676756e-75,4.6102814959422186e-21,0.12921917529258328,3.5101995002580274e-79,7.248118471630774e-19,0.12921917529258328,9.216177627688395e-48,0.12921917529258328,0.12921917529258328,2.873264169823977e-172,0.12921917527290655,2.62782956597746e-28,2.4403920434697394e-85,2.2980433650804325e-66,1.2596387119803293e-21,7.973609680558956e-112,5.018794588281382e-67,1.3517593333770364e-114,4.922612716832201e-134,1.1129388078340142e-103,1.3492871752811316e-25,5.062216384184861e-109,2.641694424720305e-79,3.742894468137116e-102,1.1890134456037515e-85,8.415543150398565e-65,2.6427194193457945e-113,1.3002857737335172e-96,1.1498734528676548e-99,5.862236423331309e-118,2.1411604515194498e-122,1.7963739011323958e-129,3.23470157081755e-124,2.2452821794185325e-91,8.7064704583798e-112,7.528889230311689e-45,1.0692650003733564e-117,6.9277872515663e-59,5.755489592123508e-93,5.267240853986506e-88,3.5214594352692297e-127,8.056944788655542e-67,0.025381685192660403,5.7930858171309876e-05,1.1730885986438159e-60,9.312854829831691e-110,3.9243317445978173e-50,6.463344390169076e-48,3.461212726164224e-58,6.157439499926238e-72,2.9671005975341e-111,2.263545805713591e-161,6.24651943098034e-46,2.6132645279817507e-120,1.7015375230483668e-96,2.959440821224372e-124,2.93559562820461e-113,2.6236528797542677e-164,6.096791006085806e-123,1.0187119786112821e-95,5.4485301922342605e-75,5.656022169166388e-85,3.9798951381832364e-60,5.4079946635714305e-39,2.6344125145601966e-84,5.071668327904838e-116,1.0397913846618377e-142,2.0492149589553114e-50,1.5949430058398015e-121,9.467130610972279e-138,1.158630446308091e-92,4.409003949670914e-64,5.783539399144928e-118,5.1331465279960435e-59,8.103989025068437e-73,2.7106709082313008e-55,1.6321493314051647e-141,3.07697053636241e-51,9.02417712819168e-110,3.5841519160433886e-128,3.0370271712758583e-53,5.606524135254999e-84,1.3430199009654254e-233,1.5698079058465328e-58,2.1577156283243935e-70,1.6269038384583647e-74,2.1394964604796434e-47,0.07002615691335491,0.1292191752923547,0.12921917529258328,6.800047550957878e-59,6.999778150001157e-125,1.302168934335381e-42
16,4.91240343114182e-54,5.078936065539561e-131,7.765106174096116e-101,0.9999999823678452,0.0,3.2201827319351797e-71,1.319955382926297e-106,1.05310173620523e-61,1.1193353114071875e-66,1.945879773840166e-221,1.891915410263231e-40,7.181218432606728e-126,1.8084970191030182e-67,3.0994222435238393e-83,1.5989691838507155e-119,1.037888910937709e-133,7.923336959599009e-106,8.434304680019705e-52,3.351113623889023e-89,1.8193897147793964e-100,1.4601667839748583e-60,8.887124196401917e-69,2.045690130156969e-46,1.833124522063388e-75,7.315677809819404e-82,9.313862990886825e-65,1.213919799218778e-44,3.6149732461919804e-68,1.076219605180026e-46,6.698403528586963e-58,2.4039843885157304e-42,2.2616954744441874e-32,9.340750010553455e-64,1.23914480215461e-68,1.4821272610200415e-60,1.6205055352231364e-162,7.8083016874308845e-87,3.1596173511478185e-83,1.98534849632205e-83,2.065516252963156e-51,1.0144919446889338e-70,9.873785782511722e-59,2.409182887769709e-81,4.554129576419439e-25,2.6130397660137706e-69,2.5918090204219464e-45,8.66134203055069e-74,1.1390169664200899e-150,5.675805331531597e-79,9.395618696834444e-66,4.551061349812573e-36,7.701582500333545e-64,9.651642919283505e-11,2.3624013776689684e-33,1.3639574575242409e-44,2.3108472631040214e-21,6.8809547508776455e-68,4.3888657897492264e-107,1.5303671587619584e-26,2.0369601553653914e-93,1.0105745008797625e-95,1.0897256003391146e-105,4.1210634006802904e-63,3.088212112715366e-150,7.594999501322121e-102,4.131897001003052e-60,3.915500889549306e-63,8.829584540832722e-43,4.583943660943864e-35,1.6784696371926728e-09,1.0600001873381167e-53,1.718811734608659e-104,5.175679173038907e-106,5.198124786055473e-40,2.9379488356597214e-156,1.770065985046678e-103,1.0043835911378155e-59,3.3579104755680857e-56,3.054586446227707e-145,4.1259668518560086e-35,5.34212584164603e-83,2.1506994283908246e-29,1.0710053759214917e-125,6.090868878238906e-25,1.5213365164688073e-101,4.257960612351307e-89,1.585716872911685e-08,3.6242463130414755e-49,1.3807736994166053e-191,1.3484871683290328e-127,1.2274284938347382e-50,4.8135197381286487e-110,8.994936914386526e-71,8.28034191989936e-46,1.054880821424659e-24,2.8270018022153075e-96,1.7791684179378656e-31,1.2338280948136183e-92,2.119932349191197e-47
19,6.621341540282776e-39,6.407824883067939e-124,1.6479285161701663e-87,1.0,0.0,1.8704977855521233e-71,9.843610370231732e-103,4.701415757789394e-75,5.297386983709194e-61,3.4443766461629735e-202,4.4252365289138244e-37,1.243672531539832e-129,6.524473599207158e-71,1.18445640262238e-90,3.2714106454883394e-129,8.924108112963941e-133,1.6641450611992927e-94,1.1055353817587804e-62,1.3829984600961195e-96,4.665420637696434e-95,4.173309476719875e-52,4.5731233995941705e-62,3.1795341375930945e-46,1.1721705928059433e-69,5.970889192712297e-83,2.4124474825255174e-53,6.144621699587381e-56,1.984038781497593e-72,1.0445926844870712e-42,4.0221164613734697e-53,1.146582657074598e-47,1.2653612530822673e-23,9.980842558919033e-49,2.586524725426215e-61,8.272210364257327e-65,8.325263873193982e-152,4.3463514484228423e-69,2.7429378019151313e-73,2.4832830768975608e-71,1.5559557924785879e-46,7.4588233580056305e-65,1.1025456611673713e-61,4.7312613096871766e-98,9.586008588378661e-39,2.525005783937339e-79,4.773085036128288e-44,2.5012572964901788e-68,3.573865943985584e-147,1.537080972449862e-82,1.8672471809359732e-75,1.0593053099888793e-29,6.868398042963705e-54,1.34051511638644e-31,3.1564585734863887e-41,3.7853783652449886e-34,1.0366684331492163e-31,1.7192148885107914e-62,1.1607251716000095e-123,2.556747052302937e-35,1.6595389442955427e-92,3.543579050258063e-82,1.416427669484809e-98,2.1004577328746884e-66,1.1547752481740422e-169,3.689385832944094e-87,2.624881312355198e-32,1.5893587293378693e-69,2.212363839199124e-52,5.9915059251795814e-30,2.87987565770642e-21,5.000011468992594e-56,1.423261085549396e-113,1.308803516208708e-115,2.4471185891776233e-49,5.954222505954314e-144,1.6875102692234975e-103,1.3223003131334864e-47,3.954998048631323e-62,4.341633017678941e-151,5.0001649982999985e-43,2.3083672813071298e-83,2.5488348129773624e-32,4.2115343389833045e-134,2.264247295549054e-43,1.7263754463048571e-103,1.4877314776541748e-93,2.4911642944419328e-26,1.4614682853078612e-42,4.903704566918604e-180,4.5780880466450984e-132,1.2612282266220546e-51,1.220271342260862e-95,3.7659387360620665e-66,4.251945947510686e-59,1.6355948264487299e-24,4.000882523892261e-104,1.0048287904000325e-41,3.7477090574662495e-96,3.6135677903534376e-45
23,8.697707074678868e-84,3.0709056355225173e-134,5.073977985117142e-73,1.0171609459649443e-20,0.0,1.1144334990138684e-06,1.2391961873595354e-72,6.136670298199378e-80,3.453590128047369e-86,3.0307675286618534e-232,4.261960037532924e-54,1.5047924029985422e-142,2.7193447429977393e-104,4.944898359329638e-106,5.252710070698672e-142,2.053458251835382e-59,4.769428039991682e-133,1.533476248230305e-70,2.9108680300973956e-92,6.7920733526714425e-118,8.236566240557602e-63,3.115469534795991e-73,2.0929138846569504e-28,3.703837727037475e-54,1.3496155412058146e-77,2.8238674513208343e-42,2.9873524239194104e-70,2.601808060703463e-68,0.9901023924345855,0.009896493095957819,3.548813149159476e-11,2.2763763114125303e-34,7.60244508248116e-81,2.803930752538903e-63,1.2143511431755599e-33,8.826261312956545e-127,2.9307029334251104e-66,2.1419506721705175e-30,3.3816736858998205e-35,4.636832193965517e-25,1.7284072243054668e-39,5.124345994211799e-115,2.111933886157908e-27,1.5609308906381122e-43,5.506073837888483e-75,3.098248326773291e-68,2.4814493571462658e-113,1.1010411148384036e-165,1.250014104658335e-115,1.0157222317399537e-92,2.936396675066612e-40,5.66218047309827e-73,1.3524649743364157e-40,4.831059786171734e-54,6.642147737787501e-54,5.329249320818053e-22,4.132256137192058e-64,3.12993973325776e-95,3.281464766252686e-48,3.155235385487318e-100,1.0313693849341434e-99,2.1298413436062218e-63,2.5707134294424826e-53,8.929259968794797e-152,4.283949634089883e-108,4.205781097102179e-69,1.4778860250839468e-28,1.4158778112436223e-34,2.298649642060432e-40,4.575221204279399e-13,4.1055061174216705e-32,8.751364693817345e-105,1.6315315278962885e-103,1.236920913549495e-31,3.6064373411128546e-184,1.5512292084636408e-160,2.1276652100003423e-35,1.4384795983734467e-52,2.181751208720521e-137,1.7649584028928978e-33,4.292190345440035e-52,1.2149508780507204e-14,1.7587565904017253e-133,1.3375215075627553e-72,1.7166633023131273e-102,6.32524086151271e-117,1.6144058899384252e-43,1.2538729472623264e-26,6.959200559498951e-163,2.6649949356469997e-149,6.231460640259997e-41,8.797100867746068e-119,5.949030488001568e-67,6.6154183257197345e-68,7.391995074532689e-57,2.801421262048061e-131,8.618750495238712e-26,3.82813462739875e-111,3.890829317380174e-60
24,1.2032723743547241e-44,2.2369970348537457e-125,1.7580212818283798e-61,2.612400715387523e-26,0.0,2.7856432058685463e-56,5.0018367872733346e-92,7.787191544243533e-67,5.922792056574281e-36,1.43978826659057e-172,2.246589496488558e-24,1.0269986397884044e-138,1.3118995252387094e-136,1.487117684894397e-106,5.912473340398186e-141,6.3441677658235635e-155,8.445571788320995e-76,3.465674941701021e-57,2.9200533789189306e-105,1.840326482078814e-134,5.236463171330306e-58,2.9478663566321922e-52,4.954496865926785e-79,1.2338216310023083e-40,4.3017359363314304e-111,1.4030029312995313e-63,1.9618421924918767e-34,1.0773741327802403e-45,8.602260959975472e-60,4.427270008996743e-64,2.636558525873584e-66,8.6773380053366e-13,1.869691514529049e-65,4.780650026366148e-79,6.904901400376599e-52,1.5298300581265677e-207,1.5605225179084422e-103,3.5890754152278092e-65,1.1114122516429718e-73,3.6300742076330744e-20,1.8940222533482532e-51,1.3798920730967167e-84,6.079182162168709e-101,2.7117607060306103e-59,9.509470187828269e-68,9.558421197540257e-65,7.280715165409e-74,9.156193580249407e-163,1.2762507591402859e-103,6.330307727473656e-82,8.433651978183178e-52,8.142438094852826e-44,1.9048794287805374e-49,5.4215808345810905e-77,2.0833877225706627e-52,7.410015403576165e-43,3.460045514537318e-60,2.1345472520071685e-118,9.923566946410676e-38,3.6449607422410044e-37,5.2960995047113584e-101,6.679748283498443e-93,2.0992781245094242e-91,1.792675114873773e-129,3.1930785022163816e-60,4.8127204285942346e-82,2.8391479551650547e-63,5.794492495714728e-68,7.913175954708748e-57,5.207661481881457e-22,5.80120884388876e-38,7.465333783064531e-82,8.708403731111056e-19,3.8954528938275365e-55,3.4135904556144607e-116,8.840625001646205e-81,6.81323118469164e-91,1.3246999091143346e-57,1.7239555664870661e-69,1.1135928142601696e-44,4.578725513378415e-72,7.468447288056785e-39,3.160638814766932e-114,6.794600454213247e-21,0.9999999999991322,1.93702917272787e-122,1.1167350562117536e-51,1.0609605285110222e-75,2.427667615051869e-183,1.9207434288713266e-120,8.400290177427351e-65,2.368540390937274e-120,2.799935917052634e-54,1.0338432054635728e-76,1.7995723611070908e-25,1.3108707419907457e-104,3.733607175454522e-37,8.403959056410224e-75,7.930156244247367e-86
28,2.1252088966017218e-17,2.8639088539630662e-55,6.106554716336386e-88,9.84714943304025e-26,5.9050324832017755e-235,5.4243184840377826e-55,8.156727220410063e-57,0.00011938113342538573,0.49994030943328155,7.253819615693022e-130,1.122652977712031e-14,5.4643311642007986e-36,6.348857676001525e-43,3.599617996923029e-53,6.309129312827842e-32,1.6512095474767374e-163,4.353479950613835e-18,6.250012980104038e-36,4.4404558643932565e-99,2.9841922918145705e-56,1.6705936210002152e-29,3.7427045506150246e-92,1.890428088805561e-74,6.817313816990218e-108,6.940615578352468e-133,8.800282960002341e-97,2.0965848702316777e-25,3.606697479794079e-114,1.511545053652148e-75,2.2203575016390085e-84,8.760696817878616e-88,1.3033216776832643e-45,1.236861731961999e-81,2.148348091153275e-66,8.810639071439511e-90,1.1479231091586864e-130,3.2818688322531795e-118,6.278453187299948e-126,1.9183248675349203e-127,2.6514815029098873e-72,4.752387679683377e-81,5.043485900099903e-35,8.443894818935449e-118,6.767794876118796e-79,2.0536355552815693e-85,1.0713194322373959e-82,2.273310637652445e-109,8.760673359602241e-69,3.0763852322062515e-17,7.250974312056668e-42,3.167421021586485e-51,2.1187830338395153e-83,1.21868200718111e-63,5.979835748091158e-44,1.9929371460969432e-41,1.492609389897109e-36,2.7074285312979893e-80,6.530874925783334e-161,1.0551251872140714e-51,1.2220106284540017e-111,1.4343632072234965e-115,2.8279524560330653e-117,3.243744139326019e-107,4.0873746155395286e-176,4.436177307503688e-90,2.5027035768236616e-75,6.040065121414291e-83,2.491443255173528e-94,1.2503144747628707e-52,2.762543203906019e-37,9.046850687874728e-84,1.862021242150069e-133,6.686895275164447e-123,1.4378676888051598e-45,7.945857640127015e-123,7.056964773779868e-92,7.459078740290924e-76,1.7541439484744329e-81,2.5260873427379463e-86,2.5475551493765504e-70,1.251739222486369e-75,1.6051954236913045e-52,8.501727027126956e-140,2.0662977373054816e-45,5.2713091023870216e-76,9.953634437117844e-89,2.9764676260831726e-41,3.043195392969727e-69,4.999129711443838e-225,4.925662960466091e-83,2.885450041706417e-68,2.326677562453895e-91,5.194437333977694e-42,2.1542970311472966e-16,0.49994030943328155,2.9403512270163215e-20,1.0053322494402266e-82,4.788967797425328e-147,2.29589258263338e-41
